,Year,AQI
0,1985,
1,1986,
2,1987,
3,1988,
4,1989,
5,1990,
6,1991,1258.0
7,1992,303.5
8,1993,1062.0
9,1994,
10,1995,
11,1996,
12,1997,
13,1998,
14,1999,
15,2000,138.0
16,2001,27.142156862745097
17,2002,25.40506329113924
18,2003,29.024390243902438
19,2004,32.61616161616162
20,2005,34.889763779527556
21,2006,30.57777777777778
22,2007,27.794520547945204
23,2008,31.778688524590162
24,2009,28.12154696132597
25,2010,24.295890410958904
26,2011,25.556473829201103
27,2012,27.417582417582416
28,2013,27.673130193905816
29,2014,23.4683908045977
30,2015,28.645251396648046
31,2016,23.546448087431695
32,2017,31.753424657534246
33,2018,28.747945205479454
34,2019,27.25824175824176
35,2020,34.63013698630137
36,2021,26.29722222222222
37,2022,24.534246575342465
38,2023,20.17924528301887
